Row ID,Order ID,Order Date,Ship Date,Delivery Time,Ship Mode,Customer ID,Customer Name,Sub-Category,Product Name,Quantity
45794,SA-2012-MM7260110-41269,12/26/2012,12/28/2012,2,Second Class,MM-7260110,Magdelene Morse,Phones,"Cisco Smart Phone, with Caller ID",4
4132,MX-2013-VF2171518-41591,11/13/2013,11/13/2013,0,Same Day,VF-2171518,Vicky Freymann,Chairs,"Harbour Creations Executive Leather Armchair, Adjustable",7
27704,IN-2014-PF1912027-41796,6/6/2014,6/8/2014,2,Second Class,PF-1912027,Peter Fuller,Appliances,"KitchenAid Microwave, White",12
13779,ES-2015-BP1118545-42216,7/31/2015,8/3/2015,3,Second Class,BP-1118545,Ben Peterman,Appliances,"Breville Refrigerator, Red",4
39519,CA-2012-AB10015140-40958,2/19/2012,2/25/2012,6,Standard Class,AB-100151402,Aaron Bergman,Storage,Akro Stacking Bins,2
12069,ES-2015-PJ1883564-42255,9/8/2015,9/14/2015,6,Standard Class,PJ-1883564,Patrick Jones,Appliances,"Hoover Stove, Red",14
22096,IN-2015-JS156857-42035,1/31/2015,2/1/2015,1,First Class,JS-156857,Jim Sink,Copiers,"Brother Fax Machine, High-Speed",9
49463,TZ-2015-RH9555129-42343,12/5/2015,12/7/2015,2,Second Class,RH-9555129,Ritsa Hightower,Appliances,"KitchenAid Stove, White",6
46630,PL-2013-AB600103-41494,8/8/2013,8/10/2013,2,First Class,AB-600103,Ann Blume,Tables,"Hon Computer Table, with Bottom Storage",4
36260,CA-2012-AB10015140-40974,3/6/2012,3/7/2012,1,First Class,AB-100151404,Aaron Bergman,Storage,"Carina 42""Hx23 3/4""W Media Storage Unit",3
21586,IN-2012-JK1532527-41030,5/1/2012,5/2/2012,1,First Class,JK-1532527,Jason Klamczynski,Chairs,"SAFCO Executive Leather Armchair, Black",6
13528,ES-2014-LB16795139-41697,2/27/2014,3/1/2014,2,Second Class,LB-16795139,Laurel Beltran,Appliances,"KitchenAid Refrigerator, Black",10
1570,US-2015-NP1832582-42216,7/31/2015,8/1/2015,1,First Class,NP-1832582,Naresj Patel,Phones,"Motorola Smart Phone, Full Size",4
3484,MX-2015-VD2167039-42252,9/5/2015,9/8/2015,3,First Class,VD-2167039,Valerie Dominguez,Tables,"Hon Computer Table, Fully Assembled",8
30191,IN-2012-PB19210127-41259,12/16/2012,12/19/2012,3,First Class,PB-19210127,Phillip Breyer,Tables,"Lesro Conference Table, with Bottom Storage",2
11645,ES-2012-EB1411048-40981,3/13/2012,3/16/2012,3,Second Class,EB-1411048,Eugene Barchas,Appliances,"Hoover Stove, Red",6
38460,CA-2012-AH10030140-41020,4/21/2012,4/23/2012,2,Second Class,AH-100301406,Aaron Hawkins,Fasteners,Staples,8
22999,IN-2013-BP1123058-41329,2/24/2013,2/24/2013,0,Same Day,BP-1123058,Benjamin Patterson,Chairs,"Office Star Executive Leather Armchair, Red",4
220,US-2012-RR1952536-41270,12/27/2012,12/29/2012,2,Second Class,RR-1952536,Rick Reed,Phones,"Samsung Smart Phone, VoIP",5
10648,ES-2013-BS1136545-41472,7/17/2013,7/19/2013,2,First Class,BS-1136545,Bill Shonely,Machines,"Okidata Inkjet, Wireless",9
40977,CA-2013-AH10030140-41635,12/27/2013,12/31/2013,4,Standard Class,AH-100301404,Aaron Hawkins,Phones,Geemarc AmpliPOWER60,9
21286,IN-2012-DP131057-41215,11/2/2012,11/4/2012,2,Second Class,DP-131057,Dave Poirier,Appliances,"Breville Stove, Red",5
40976,CA-2013-AH10030140-41635,12/27/2013,12/31/2013,4,Standard Class,AH-100301404,Aaron Hawkins,Storage,Fellowes Super Stor/Drawer Files,2
47905,CG-2012-AH1003033-41165,9/13/2012,9/14/2012,1,First Class,AH-1003033,Aaron Hawkins,Phones,"Apple Smart Phone, Full Size",6
36651,CA-2012-AH10030140-41041,5/12/2012,5/18/2012,6,Standard Class,AH-100301404,Aaron Hawkins,Chairs,"Iceberg Nesting Folding Chair, 19w x 6d x 43h",6
40100,CA-2012-AH10030140-41273,12/30/2012,12/31/2012,1,First Class,AH-100301406,Aaron Hawkins,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 10/Pack",3
15380,ES-2015-PO18865139-42018,1/14/2015,1/18/2015,4,Standard Class,PO-18865139,Patrick O'Donnell,Copiers,"Brother Fax Machine, Laser",13
28046,IN-2012-DL128657-40918,1/10/2012,1/11/2012,1,First Class,DL-128657,Dan Lawera,Phones,"Nokia Smart Phone, with Caller ID",5
21316,ID-2014-JB1600059-41873,8/22/2014,8/26/2014,4,Standard Class,JB-1600059,Joy Bell-,Phones,"Motorola Smart Phone, Full Size",6
29272,IN-2015-BF1100558-42319,11/11/2015,11/15/2015,4,Standard Class,BF-1100558,Barry Franz,Phones,"Motorola Smart Phone, with Caller ID",7
25795,IN-2015-VG2180558-42273,9/26/2015,9/28/2015,2,Second Class,VG-2180558,Vivek Grady,Bookcases,"Sauder Classic Bookcase, Traditional",13
16681,ES-2013-GT14710139-41621,12/13/2013,12/17/2013,4,Standard Class,GT-14710139,Greg Tran,Phones,"Motorola Smart Phone, Cordless",9
15953,IT-2012-ZC2191048-41174,9/22/2012,9/24/2012,2,First Class,ZC-2191048,Zuschuss Carroll,Appliances,"Cuisinart Stove, Silver",7
34608,CA-2014-AH10030140-41719,3/21/2014,3/26/2014,5,Second Class,AH-100301408,Aaron Hawkins,Furnishings,"Eldon Image Series Desk Accessories, Ebony",7
13847,IT-2014-EB1384045-41706,3/8/2014,3/8/2014,0,Same Day,EB-1384045,Ellis Ballard,Chairs,"Office Star Executive Leather Armchair, Adjustable",5
24341,IN-2015-AP1091527-42244,8/28/2015,8/29/2015,1,First Class,AP-1091527,Arthur Prichep,Chairs,"Novimex Executive Leather Armchair, Red",6
28701,IN-2015-SW2027558-42125,5/1/2015,5/1/2015,0,Same Day,SW-2027558,Scott Williamson,Machines,"Konica Inkjet, White",7
6550,MX-2015-JH15820141-42356,12/18/2015,12/20/2015,2,Second Class,JH-15820141,John Huston,Chairs,"Harbour Creations Executive Leather Armchair, Black",11
37425,US-2012-AH10030140-41206,10/24/2012,10/27/2012,3,First Class,AH-100301404,Aaron Hawkins,Binders,GBC VeloBind Cover Sets,4
48360,IR-2015-TG1164060-42265,9/18/2015,9/21/2015,3,First Class,TG-1164060,Trudy Glocke,Copiers,"Canon Copy Machine, Color",8
40101,CA-2012-AH10030140-41273,12/30/2012,12/31/2012,1,First Class,AH-100301406,Aaron Hawkins,Labels,Avery 51,3
30190,IN-2012-PB19210127-41259,12/16/2012,12/19/2012,3,First Class,PB-19210127,Phillip Breyer,Bookcases,"Safco Classic Bookcase, Pine",5
42336,MZ-2014-DG330087-41991,12/18/2014,12/18/2014,0,Same Day,DG-330087,Deirdre Greer,Phones,"Motorola Smart Phone, with Caller ID",4
29047,IN-2013-SG2047058-41424,5/30/2013,5/31/2013,1,First Class,SG-2047058,Sheri Gordon,Copiers,"Hewlett Wireless Fax, Color",4
38461,CA-2012-AH10030140-41020,4/21/2012,4/23/2012,2,Second Class,AH-100301406,Aaron Hawkins,Binders,"ACCOHIDE 3-Ring Binder, Blue, 1""",3
29601,IN-2013-GP1474058-41419,5/25/2013,5/28/2013,3,Second Class,GP-1474058,Guy Phonely,Tables,"Chromcraft Conference Table, with Bottom Storage",2
23499,IN-2015-MW182207-42221,8/5/2015,8/6/2015,1,First Class,MW-182207,Mitch Webber,Appliances,"Breville Refrigerator, White",9
36652,CA-2012-AH10030140-41041,5/12/2012,5/18/2012,6,Standard Class,AH-100301404,Aaron Hawkins,Paper,EcoTones Memo Sheets,2
26634,IN-2015-CS1246011-42074,3/11/2015,3/13/2015,2,Second Class,CS-1246011,Chuck Sachs,Bookcases,"Safco Classic Bookcase, Metal",7
34496,CA-2015-AH10030140-42357,12/19/2015,12/23/2015,4,Standard Class,AH-100301406,Aaron Hawkins,Art,Avery Fluorescent Highlighter Four-Color Set,7
10522,ES-2015-MS1798048-42227,8/11/2015,8/16/2015,5,Second Class,MS-1798048,Michael Stewart,Phones,"Samsung Smart Phone, Cordless",7
10549,IT-2014-KC1667548-41882,8/31/2014,9/3/2014,3,First Class,KC-1667548,Kimberly Carter,Phones,"Apple Audio Dock, with Caller ID",9
25314,IN-2015-DB1340527-42022,1/18/2015,1/23/2015,5,Standard Class,DB-1340527,Denny Blanton,Chairs,"SAFCO Executive Leather Armchair, Black",11
32637,CA-2015-AS10045140-42007,1/3/2015,1/5/2015,2,First Class,AS-100451408,Aaron Smayling,Machines,Cisco CP-7937G Unified IP Conference Station Phone,2
16653,IT-2015-DK13090120-42345,12/7/2015,12/8/2015,1,First Class,DK-13090120,Dave Kipp,Bookcases,"Safco Classic Bookcase, Metal",5
28932,IN-2015-CS1184558-42354,12/16/2015,12/19/2015,3,First Class,CS-1184558,Cari Sayre,Tables,"Chromcraft Wood Table, Rectangular",4
8029,MX-2015-EM1420082-42328,11/20/2015,11/20/2015,0,Same Day,EM-1420082,Evan Minnotte,Phones,"Samsung Smart Phone, Cordless",4
50411,UP-2012-DW3480137-41221,11/8/2012,11/10/2012,2,First Class,DW-3480137,Dianna Wilson,Tables,"Chromcraft Round Table, Rectangular",4
21191,IN-2014-AS1022527-41797,6/7/2014,6/9/2014,2,First Class,AS-1022527,Alan Schoenberger,Chairs,"Harbour Creations Executive Leather Armchair, Adjustable",7
4960,MX-2012-ST2053093-41234,11/21/2012,11/22/2012,1,First Class,ST-2053093,Shui Tom,Appliances,"Hamilton Beach Microwave, Black",13
49085,CG-2014-BW106533-41727,3/29/2014,3/31/2014,2,Second Class,BW-106533,Barry Weirich,Chairs,"Harbour Creations Executive Leather Armchair, Adjustable",8
21209,IN-2015-LA1678059-42242,8/26/2015,8/27/2015,1,First Class,LA-1678059,Laura Armstrong,Tables,"Bevis Conference Table, with Bottom Storage",7
12161,ES-2013-AB10150139-41537,9/20/2013,9/22/2013,2,Second Class,AB-10150139,Aimee Bixby,Phones,"Nokia Smart Phone, Full Size",6
25438,IN-2015-JH158207-42140,5/16/2015,5/18/2015,2,Second Class,JH-158207,John Huston,Phones,"Apple Smart Phone, Cordless",5
33130,CA-2015-AS10045140-42218,8/2/2015,8/8/2015,6,Standard Class,AS-100451402,Aaron Smayling,Machines,Bady BDG101FRU Card Printer,3
16988,ES-2014-BE1141048-41967,11/24/2014,11/25/2014,1,First Class,BE-1141048,Bobby Elias,Copiers,"Brother Ink, Color",10
24443,IN-2012-SZ2003527-41221,11/8/2012,11/10/2012,2,Second Class,SZ-2003527,Sam Zeldin,Copiers,"Sharp Wireless Fax, Digital",9
30199,IN-2012-RM1937558-41209,10/27/2012,10/27/2012,0,Same Day,RM-1937558,Raymond Messe,Chairs,"Novimex Executive Leather Armchair, Red",5
13879,ES-2015-HG1484545-42327,11/19/2015,11/23/2015,4,Standard Class,HG-1484545,Harry Greene,Chairs,"Hon Executive Leather Armchair, Adjustable",14
50788,MO-2015-DP310586-42305,10/28/2015,10/30/2015,2,Second Class,DP-310586,Dave Poirier,Copiers,"Canon Wireless Fax, Laser",14
40834,CA-2014-AS10045140-41908,9/26/2014,9/28/2014,2,First Class,AS-100451404,Aaron Smayling,Bookcases,"Atlantic Metals Mobile 4-Shelf Bookcases, Custom Colors",2
40425,US-2015-AS10045140-42252,9/5/2015,9/6/2015,1,First Class,AS-100451404,Aaron Smayling,Binders,"Avery Trapezoid Extra Heavy Duty 4"" Binders",7
18241,ES-2014-JB1600048-41668,1/29/2014,2/5/2014,7,Standard Class,JB-1600048,Joy Bell-,Phones,"Motorola Smart Phone, Full Size",5
23013,ID-2013-AM1070559-41535,9/18/2013,9/21/2013,3,Second Class,AM-1070559,Anne McFarland,Appliances,"Hamilton Beach Refrigerator, Black",6
45616,MO-2014-AB25586-41966,11/23/2014,11/23/2014,0,Same Day,AB-25586,Alejandro Ballentine,Appliances,"Hoover Stove, White",4
25026,IN-2013-RP192707-41438,6/13/2013,6/13/2013,0,Same Day,RP-192707,Rachel Payne,Copiers,"Brother Wireless Fax, Laser",9
27962,IN-2014-BK1126011-41940,10/28/2014,10/31/2014,3,First Class,BK-1126011,Berenike Kampe,Bookcases,"Ikea Classic Bookcase, Mobile",9
26669,IN-2014-JM1525027-41985,12/12/2014,12/14/2014,2,First Class,JM-1525027,Janet Martin,Copiers,"Canon Copy Machine, Color",6
29600,IN-2013-GP1474058-41419,5/25/2013,5/28/2013,3,Second Class,GP-1474058,Guy Phonely,Phones,"Nokia Smart Phone, with Caller ID",3
34336,CA-2015-AS10045140-42281,10/4/2015,10/9/2015,5,Standard Class,AS-100451404,Aaron Smayling,Tables,"Lesro Sheffield Collection Coffee Table, End Table, Center Table, Corner Table",3
19195,ES-2014-NZ1856545-41975,12/2/2014,12/2/2014,0,Same Day,NZ-1856545,Nick Zandusky,Appliances,"Hamilton Beach Stove, White",5
32639,CA-2015-AS10045140-42007,1/3/2015,1/5/2015,2,First Class,AS-100451408,Aaron Smayling,Binders,Avery Recycled Flexi-View Covers for Binding Systems,6
26731,ID-2014-SC20695102-41667,1/28/2014,1/30/2014,2,First Class,SC-20695102,Steve Chapman,Chairs,"Office Star Executive Leather Armchair, Red",7
31278,IN-2013-NC186257-41401,5/7/2013,5/7/2013,0,Same Day,NC-186257,Noah Childs,Tables,"Bevis Conference Table, with Bottom Storage",2
12035,ES-2014-NF183858-41970,11/27/2014,11/29/2014,2,First Class,NF-183858,Natalie Fritzler,Bookcases,"Ikea Classic Bookcase, Mobile",7
29149,IN-2013-NZ185657-41606,11/28/2013,12/2/2013,4,Second Class,NZ-185657,Nick Zandusky,Chairs,"SAFCO Executive Leather Armchair, Black",7
15896,IT-2013-PM1894045-41546,9/29/2013,9/29/2013,0,Same Day,PM-1894045,Paul MacIntyre,Machines,"Panasonic Printer, Red",9
18307,ES-2014-MZ1733545-41885,9/3/2014,9/5/2014,2,Second Class,MZ-1733545,Maria Zettner,Appliances,"Hamilton Beach Refrigerator, Silver",7
46257,CG-2014-HM498033-41846,7/26/2014,8/1/2014,6,Standard Class,HM-498033,Henry MacAllister,Phones,"Motorola Smart Phone, Full Size",6
21142,IN-2015-RW195407-42327,11/19/2015,11/25/2015,6,Standard Class,RW-195407,Rick Wilson,Phones,"Cisco Smart Phone, Full Size",6
10308,ES-2013-LH1715545-41444,6/19/2013,6/19/2013,0,Same Day,LH-1715545,Logan Haushalter,Phones,"Samsung Smart Phone, Full Size",4
6776,MX-2013-FH1436582-41558,10/11/2013,10/14/2013,3,First Class,FH-1436582,Fred Hopkins,Phones,"Samsung Smart Phone, Cordless",6
16948,ES-2012-KM1666048-41129,8/8/2012,8/10/2012,2,First Class,KM-1666048,Khloe Miller,Copiers,"Sharp Fax Machine, High-Speed",5
11611,ES-2012-PO1886545-41217,11/4/2012,11/8/2012,4,Second Class,PO-1886545,Patrick O'Donnell,Phones,"Cisco Smart Phone, with Caller ID",8
35876,US-2012-AS10045140-41116,7/26/2012,8/1/2012,6,Standard Class,AS-100451406,Aaron Smayling,Paper,Xerox 1956,11
1873,MX-2014-AB1006028-41755,4/26/2014,4/28/2014,2,First Class,AB-1006028,Adam Bellavance,Bookcases,"Dania Classic Bookcase, Pine",9
29120,IN-2014-DB130607-41999,12/26/2014,12/26/2014,0,Same Day,DB-130607,Dave Brooks,Appliances,"Breville Refrigerator, Red",8
11743,IT-2014-VM2168591-41711,3/13/2014,3/13/2014,0,Same Day,VM-2168591,Valerie Mitchum,Chairs,"Office Star Executive Leather Armchair, Black",11
32648,CA-2014-AS10045140-41727,3/29/2014,4/1/2014,3,First Class,AS-100451408,Aaron Smayling,Storage,Hanging Personal Folder File,2
17522,ES-2013-DM1352548-41369,4/5/2013,4/5/2013,0,Same Day,DM-1352548,Don Miller,Phones,"Apple Smart Phone, with Caller ID",9
14721,ES-2013-NM18520120-41634,12/26/2013,12/28/2013,2,Second Class,NM-18520120,Neoma Murray,Bookcases,"Sauder Classic Bookcase, Metal",4
29629,IN-2014-LC168857-41747,4/18/2014,4/19/2014,1,First Class,LC-168857,Lena Creighton,Copiers,"Sharp Wireless Fax, Laser",5
25868,IN-2012-RO1978027-41052,5/23/2012,5/25/2012,2,Second Class,RO-1978027,Rose O'Brian,Appliances,"Hoover Refrigerator, White",7
33131,CA-2015-AS10045140-42218,8/2/2015,8/8/2015,6,Standard Class,AS-100451402,Aaron Smayling,Paper,Xerox 1998,7
19559,ES-2014-EM1406548-41775,5/16/2014,5/20/2014,4,Second Class,EM-1406548,Erin Mull,Copiers,"Hewlett Wireless Fax, Laser",5
32638,CA-2015-AS10045140-42007,1/3/2015,1/5/2015,2,First Class,AS-100451408,Aaron Smayling,Binders,"Avery 3 1/2"" Diskette Storage Pages, 10/Pack",5
14070,IT-2012-ON1871545-40955,2/16/2012,2/19/2012,3,Second Class,ON-1871545,Odella Nelson,Chairs,"SAFCO Executive Leather Armchair, Black",11
21306,IN-2014-VS2182027-41790,5/31/2014,6/2/2014,2,First Class,VS-2182027,Vivek Sundaresam,Bookcases,"Bush Library with Doors, Metal",4
21668,IN-2014-CM121157-41913,10/1/2014,10/2/2014,1,First Class,CM-121157,Chad McGuire,Copiers,"HP Wireless Fax, Digital",6
39465,CA-2015-AB10060140-42315,11/7/2015,11/14/2015,7,Standard Class,AB-100601404,Adam Bellavance,Tables,Hon 5100 Series Wood Tables,7
31650,CA-2014-AB10060140-41884,9/2/2014,9/4/2014,2,First Class,AB-100601406,Adam Bellavance,Binders,GBC DocuBind P400 Electric Binding System,4
24260,ID-2014-JK153257-41984,12/11/2014,12/14/2014,3,Second Class,JK-153257,Jason Klamczynski,Copiers,"Canon Wireless Fax, High-Speed",5
13646,IT-2015-RP1927045-42081,3/18/2015,3/21/2015,3,Second Class,RP-1927045,Rachel Payne,Copiers,"Sharp Fax Machine, Digital",6
23708,IN-2015-DW1354078-42357,12/19/2015,12/20/2015,1,First Class,DW-1354078,Don Weiss,Phones,"Cisco Smart Phone, Full Size",3
39466,CA-2015-AB10060140-42315,11/7/2015,11/14/2015,7,Standard Class,AB-100601404,Adam Bellavance,Chairs,Hon 2090 “Pillow Soft” Series Mid Back Swivel/Tilt Chairs,2
33661,US-2014-AB10060140-41712,3/14/2014,3/19/2014,5,Standard Class,AB-100601408,Adam Bellavance,Appliances,"Eureka The Boss Lite 10-Amp Upright Vacuum, Blue",2
39467,CA-2015-AB10060140-42315,11/7/2015,11/14/2015,7,Standard Class,AB-100601404,Adam Bellavance,Accessories,SanDisk Cruzer 64 GB USB Flash Drive,3
1779,MX-2015-GM1444037-42265,9/18/2015,9/18/2015,0,Same Day,GM-1444037,Gary McGarr,Copiers,"Brother Copy Machine, Color",7
23880,IN-2014-SV2081558-41968,11/25/2014,11/27/2014,2,First Class,SV-2081558,Stuart Van,Copiers,"Hewlett Fax Machine, High-Speed",5
27094,IN-2014-MM1792027-41950,11/7/2014,11/10/2014,3,First Class,MM-1792027,Michael Moore,Accessories,"Belkin Router, USB",9
24424,IN-2015-JK1612059-42204,7/19/2015,7/23/2015,4,Standard Class,JK-1612059,Julie Kriz,Bookcases,"Safco Classic Bookcase, Mobile",8
22049,ID-2013-EM14200130-41502,8/16/2013,8/16/2013,0,Same Day,EM-14200130,Evan Minnotte,Phones,"Motorola Smart Phone, Full Size",7
40796,CA-2015-AB10060140-42314,11/6/2015,11/8/2015,2,First Class,AB-100601402,Adam Bellavance,Paper,Strathmore Photo Mount Cards,10
23815,IN-2013-PM1894059-41284,1/10/2013,1/14/2013,4,Standard Class,PM-1894059,Paul MacIntyre,Bookcases,"Safco Library with Doors, Pine",10
8009,MX-2014-AT1043582-41667,1/28/2014,1/30/2014,2,First Class,AT-1043582,Alyssa Tate,Appliances,"Hoover Refrigerator, Red",7
30267,ID-2013-AB1001527-41439,6/14/2013,6/17/2013,3,First Class,AB-1001527,Aaron Bergman,Machines,"StarTech Printer, Wireless",8
40795,CA-2015-AB10060140-42314,11/6/2015,11/8/2015,2,First Class,AB-100601402,Adam Bellavance,Fasteners,Staples,3
31647,CA-2014-AB10060140-41884,9/2/2014,9/4/2014,2,First Class,AB-100601406,Adam Bellavance,Paper,Xerox 1881,2
2283,MX-2013-PV1898518-41614,12/6/2013,12/8/2013,2,First Class,PV-1898518,Paul Van Hugh,Accessories,"Memorex Router, Bluetooth",14
17765,IT-2014-SB2029064-41887,9/5/2014,9/7/2014,2,Second Class,SB-2029064,Sean Braxton,Copiers,"Hewlett Wireless Fax, Color",7
47783,SO-2015-SM10005116-42265,9/18/2015,9/20/2015,2,First Class,SM-10005116,Sally Matthias,Phones,"Samsung Smart Phone, Cordless",6
31649,CA-2014-AB10060140-41884,9/2/2014,9/4/2014,2,First Class,AB-100601406,Adam Bellavance,Paper,Xerox 1881,4
23175,IN-2013-KH1633059-41489,8/3/2013,8/8/2013,5,Standard Class,KH-1633059,Katharine Harms,Appliances,"KitchenAid Refrigerator, Black",8
27693,IN-2015-MP181757-42347,12/9/2015,12/11/2015,2,First Class,MP-181757,Mike Pelletier,Phones,"Apple Smart Phone, with Caller ID",3
22134,IN-2013-LH1702027-41572,10/25/2013,10/28/2013,3,First Class,LH-1702027,Lisa Hazard,Copiers,"Brother Fax Machine, High-Speed",5
36297,CA-2015-AB10060140-42132,5/8/2015,5/13/2015,5,Standard Class,AB-100601404,Adam Bellavance,Accessories,Logitech G600 MMO Gaming Mouse,1
22488,ID-2014-CR126257-41878,8/27/2014,8/29/2014,2,Second Class,CR-126257,Corey Roper,Bookcases,"Safco Classic Bookcase, Traditional",7
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
